Intraday Open to Close	Actual	Maximum	OtoC	Maximum
Intraday Open to Close	Actual	Mode	OtoC	Mode
Intraday Open to Close	Actual	Arithmetic Mean	OtoC	ArithmeticMean
Intraday Open to Close	Actual	Variance	OtoC	Variance
Intraday Open to Close	Actual	Standard Deviation	OtoC	StandardDeviation
Intraday Open to Close	Actual	Coefficient Of Variation	OtoC	CoefficientOfVariation
Intraday Open to Close	Actual	Kurtosis	OtoC	Kurtosis
Intraday Open to Close	Actual	Skewness	OtoC	Skewness
Intraday Open to Close	Percent	N	OtoC	N
Intraday Open to Close	Percent	Minimum	OtoC	Minimum
Intraday Open to Close	Percent	First Quintile	OtoC	FirstQuintile
Intraday Open to Close	Percent	First Decile	OtoC	FirstDecile
Intraday Open to Close	Percent	Lower Quartile	OtoC	LowerQuartile
Intraday Open to Close	Percent	Median	OtoC	Median
Intraday Open to Close	Percent	Upper Quartile	OtoC	UpperQuartile
Intraday Open to Close	Percent	Last Decile	OtoC	LastDecile
Intraday Open to Close	Percent	Last Quintile	OtoC	LastQuintile
Intraday Open to Close	Percent	Maximum	OtoC	Maximum
Intraday Open to Close	Percent	Mode	OtoC	Mode
Intraday Open to Close	Percent	Arithmetic Mean	OtoC	ArithmeticMean
Intraday Open to Close	Percent	Variance	OtoC	Variance
Intraday Open to Close	Percent	Standard Deviation	OtoC	StandardDeviation
Intraday Open to Close	Percent	Coefficient Of Variation	OtoC	CoefficientOfVariation
Intraday Open to Close	Percent	Kurtosis	OtoC	Kurtosis
Intraday Open to Close	Percent	Skewness	OtoC	Skewness
